[2018-01-01 00:27:26] --- BALL preview start ---
[2018-01-01 00:27:28] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:28:12] ball: center_px=160 center_px_avg=159.6526 reference_px=160 x_mm=0.00 valid=1 fps=49.2
[2018-01-01 00:28:13] ball: center_px=162 center_px_avg=160.5738 reference_px=160 x_mm=1.00 valid=1 fps=49.2
[2018-01-01 00:28:14] ball: center_px=162 center_px_avg=160.6184 reference_px=160 x_mm=1.00 valid=1 fps=49.3
[2018-01-01 00:28:14] ball: center_px=160 center_px_avg=159.5619 reference_px=160 x_mm=0.00 valid=1 fps=49.2
[2018-01-01 00:28:15] ball: center_px=160 center_px_avg=160.2082 reference_px=160 x_mm=0.00 valid=1 fps=49.2
[2018-01-01 00:28:16] ball: center_px=160 center_px_avg=160.5315 reference_px=160 x_mm=0.00 valid=1 fps=49.3
[2018-01-01 00:28:16] ball: center_px=158 center_px_avg=159.9194 reference_px=160 x_mm=-1.00 valid=1 fps=49.3
[2018-01-01 00:28:17] ball: center_px=158 center_px_avg=159.219 reference_px=160 x_mm=-1.00 valid=1 fps=49.2
[2018-01-01 00:28:18] ball: center_px=None center_px_avg=160.5902 reference_px=160 x_mm=0.00 valid=1 fps=49.1
[2018-01-01 00:28:18] ball: center_px=160 center_px_avg=160.0578 reference_px=160 x_mm=0.00 valid=1 fps=48.9
[2018-01-01 00:28:19] ball: center_px=160 center_px_avg=160.0099 reference_px=160 x_mm=0.00 valid=1 fps=49.0
[2018-01-01 00:28:19] ball: center_px=160 center_px_avg=159.8903 reference_px=160 x_mm=0.00 valid=1 fps=49.2
[2018-01-01 00:28:20] ball: center_px=160 center_px_avg=160.2558 reference_px=160 x_mm=0.00 valid=1 fps=49.4
[2018-01-01 00:28:21] ball: center_px=160 center_px_avg=160.2668 reference_px=160 x_mm=0.00 valid=1 fps=49.2
[2018-01-01 00:28:21] ball: center_px=160 center_px_avg=160.1315 reference_px=160 x_mm=0.00 valid=1 fps=49.3
[2018-01-01 00:28:22] ball: center_px=160 center_px_avg=160.0004 reference_px=160 x_mm=0.00 valid=1 fps=49.0
[2018-01-01 00:28:23] ball: center_px=160 center_px_avg=160.0344 reference_px=160 x_mm=0.00 valid=1 fps=49.0
[2018-01-01 00:28:23] ball: center_px=160 center_px_avg=159.9654 reference_px=160 x_mm=0.00 valid=1 fps=48.7
